날짜,시가,고가,저가,종가,거래량
2016-11-10,135000,148000,125500,144000,7179018.0
2016-11-11,149500,186500,142000,161500,8140539.0
2016-11-14,165000,177500,165000,175500,2977177.0
2016-11-15,179000,181500,162500,166000,2592949.0
2016-11-16,168500,173000,163500,170000,1660976.0
2016-11-17,176500,177500,167500,167500,912260.0
2016-11-18,167000,168000,157500,168000,1312450.0
2016-11-21,167500,172000,164000,169000,642124.0
2016-11-22,170000,174000,169000,171000,568241.0
2016-11-23,172500,172500,165000,166000,459085.0
2016-11-24,165000,165500,155500,155500,837894.0
2016-11-25,154000,163500,153000,162000,702370.0
2016-11-28,161000,165500,159000,161500,411331.0
2016-11-29,157500,159000,151000,157000,893920.0
2016-11-30,156000,158500,150500,154000,2444923.0
2016-12-01,153500,154000,144000,144500,852285.0
2016-12-02,144500,146000,139000,142000,702548.0
2016-12-05,143500,146500,142000,142000,406959.0
2016-12-06,142500,148000,142500,146000,409654.0
2016-12-07,146500,152000,146500,150500,345673.0
2016-12-08,152500,154500,147000,150500,359764.0
2016-12-09,150500,150500,144500,145000,288245.0
2016-12-12,145000,148000,142500,143000,314792.0
2016-12-13,143500,145500,141000,145500,240688.0
2016-12-14,147000,147000,142500,143500,185937.0
2016-12-15,142500,144000,141000,142500,202359.0
2016-12-16,143000,144500,141500,144500,232511.0
2016-12-19,144000,151000,143000,150000,354223.0
2016-12-20,151500,153500,150000,151500,266217.0
2016-12-21,152500,153000,148000,148000,147143.0
2016-12-22,148000,149000,144000,144000,155240.0
2016-12-23,144000,146500,144000,144000,86513.0
2016-12-26,145000,145500,144000,144000,62989.0
2016-12-27,144000,147000,144000,145500,107780.0
2016-12-28,147500,155000,147000,152000,316778.0
2016-12-29,151000,152500,149500,151000,125878.0
2017-01-02,151500,158000,151000,156500,242245.0
2017-01-03,156500,158000,154500,158000,163655.0
2017-01-04,159500,161000,154500,154500,180143.0
2017-01-05,156000,158000,156000,157500,96008.0
2017-01-06,158000,158500,155500,157500,88105.0
2017-01-09,157500,158000,153000,154500,124880.0
2017-01-10,154000,154000,150500,151000,156701.0
2017-01-11,151500,161000,151500,159000,353023.0
2017-01-12,157500,158500,154500,157000,151742.0
2017-01-13,155000,158000,152500,153000,185131.0
2017-01-16,154000,154500,151000,151500,125534.0
2017-01-17,151000,154000,150000,152000,110949.0
2017-01-18,153000,153500,152000,153000,73671.0
2017-01-19,155500,156500,152000,152500,96398.0
2017-01-20,152500,155500,152000,155000,79754.0
2017-01-23,156000,156500,154000,155500,89506.0
2017-01-24,155500,156000,152500,155000,112281.0
2017-01-25,156000,156500,152500,155000,140686.0
2017-01-26,156500,164000,155500,161000,407193.0
2017-01-31,162000,164000,160500,161000,228987.0
2017-02-01,162000,163000,159500,163000,138216.0
2017-02-02,163500,173000,162500,171500,597838.0
2017-02-03,173500,176500,171500,173000,399421.0
2017-02-06,172000,172500,167000,168500,251528.0
2017-02-07,168500,172500,167000,171500,212751.0
2017-02-08,171500,172000,161500,163000,374070.0
2017-02-09,163000,166000,160500,161000,219373.0
2017-02-10,160000,161000,156000,158000,704753.0
2017-02-13,156000,159500,155500,158000,177206.0
2017-02-14,158000,159500,156500,156500,150832.0
2017-02-15,156000,161500,156000,160500,130426.0
2017-02-16,161000,162500,158500,159000,132573.0
2017-02-17,155500,160500,155000,160500,192999.0
2017-02-20,159500,161500,159000,161000,76203.0
2017-02-21,161000,166000,160500,165500,163959.0
2017-02-22,166500,167000,164000,165000,106637.0
2017-02-23,165000,168000,165000,168000,144561.0
2017-02-24,167500,168000,165000,165500,84069.0
