날짜,시가,고가,저가,종가,거래량
2010-01-04,33500,34050,33500,33750,238150.0
2010-01-05,33950,34500,33600,33900,441368.0
2010-01-06,33900,34900,33900,34250,535469.0
2010-01-07,34350,35100,34300,34600,543803.0
2010-01-08,34700,35100,34200,34450,553641.0
2010-01-11,34700,35250,34650,34800,553757.0
2010-01-12,34900,35000,33700,34100,379682.0
2010-01-13,34200,35100,34200,34600,758472.0
2010-01-14,35000,36150,34750,35550,1369351.0
2010-01-15,35550,37500,35500,37500,914666.0
2010-01-18,37200,37700,37050,37450,487661.0
2010-01-19,37600,38700,37200,37850,869785.0
2010-01-20,37750,38000,36500,36700,519791.0
2010-01-21,36450,37650,35950,37500,492276.0
2010-01-22,36800,37250,35500,35500,758655.0
2010-01-25,34900,35050,34150,34650,663699.0
2010-01-26,34800,35200,34250,34750,421379.0
2010-01-27,34950,36350,34400,35350,768707.0
2010-01-28,35700,35950,35250,35500,342283.0
2010-01-29,35000,35200,33900,34550,498942.0
2010-02-01,34550,34650,34000,34500,237987.0
2010-02-02,35400,35400,33100,34200,796875.0
2010-02-03,34700,35400,34400,34850,357039.0
2010-02-04,35000,36350,34850,36100,659303.0
2010-02-05,35000,36100,34950,35850,644633.0
2010-02-08,36000,36200,35400,35750,410248.0
2010-02-09,35750,36100,35450,35800,519680.0
2010-02-10,36500,36500,35700,35800,279525.0
2010-02-11,36150,37750,36000,37400,656894.0
2010-02-12,37350,37900,37100,37100,330897.0
2010-02-16,37100,37650,36750,37200,312619.0
2010-02-17,37700,38950,37450,38050,555283.0
2010-02-18,38300,38750,37800,38200,310245.0
2010-02-19,37800,38000,36950,37000,297997.0
2010-02-22,37300,37900,37300,37700,223987.0
2010-02-23,37700,37900,37250,37600,189392.0
2010-02-24,37500,37500,36900,37050,341349.0
2010-02-25,37150,37500,36800,37000,385003.0
2010-02-26,37000,38250,36800,38200,406139.0
2010-03-02,38100,38700,37550,38000,341214.0
2010-03-03,37650,38350,37500,37650,256174.0
2010-03-04,37600,37900,37150,37250,230501.0
2010-03-05,37300,37700,37050,37600,199746.0
2010-03-08,38200,38450,37800,38400,319060.0
2010-03-09,38350,39450,38200,38750,506993.0
2010-03-10,39000,39850,38600,39650,404068.0
2010-03-11,39900,40200,39400,39400,511209.0
2010-03-12,39600,40850,39600,39950,560086.0
2010-03-15,40100,40600,39300,39650,319288.0
2010-03-16,39650,40000,38850,39100,314849.0
2010-03-17,39400,39900,39050,39900,342215.0
2010-03-18,39500,40700,39500,40400,305929.0
2010-03-19,40600,40700,40150,40600,189851.0
2010-03-22,40300,40300,39150,39900,393070.0
2010-03-23,39850,39850,38700,39050,558146.0
2010-03-24,39350,39450,38850,39300,310865.0
2010-03-25,39450,39450,38500,38600,260876.0
