종목코드,종목명,상장일,거래소,종가,시가총액
056700,신화인터텍,2001-12-13,KQ,3235,94834721205
257720,실리콘투,2021-09-29,KQ,19150,192475468800
356890,싸이버원,2021-03-11,KQ,11000,51281171500
217330,싸이토젠,2018-11-22,KQ,67200,384576365600
115530,씨엔플러스,2011-11-02,KQ,839,57020957000
376290,씨유테크,2021-10-08,KQ,6960,123425925000
189330,씨이랩,2021-02-24,KQ,45500,271529144200
123860,아나패스,2010-11-05,KQ,25800,297988253200
127710,아시아경제,2015-07-31,KQ,3425,88005132300
289010,아이스크림에듀,2019-07-11,KQ,7000,90048259000
078860,아이오케이,2006-06-27,KQ,1530,135060050220
052770,아이톡시,2002-08-22,KQ,2085,40936750305
027360,아주IB투자,2018-11-21,KQ,4480,534373227500
053800,안랩,2001-09-13,KQ,70200,696964308000
131370,알서포트,2011-01-05,KQ,7450,396839768350
293780,압타바이오,2019-06-12,KQ,49650,1102866160200
019990,에너토크,2006-02-01,KQ,12250,117560860400
038680,에스넷,2000-04-27,KQ,6480,104328145350
031330,에스에이엠티,2000-05-23,KQ,5010,500975285670
058610,에스피지,2002-07-23,KQ,9920,219999411200
187660,에이디엠코리아,2021-06-03,KQ,4975,108635343750
195990,에이비프로바이오,2015-04-13,KQ,1065,267815106960
227100,에이치앤비디자인,2018-11-15,KQ,9990,49231429900
176440,에이치엔티,2016-11-28,KQ,1920,164619542400
200470,에이팩트,2014-12-26,KQ,6130,107604058400
089970,에이피티씨,2018-08-23,KQ,15550,367359222500
230240,에치에프알,2015-12-16,KQ,21800,276319329000
230360,에코마케팅,2016-08-08,KQ,17300,567918053150
038870,에코바이오,2001-05-29,KQ,8300,96719580020
064850,에프앤가이드,2020-12-17,KQ,9990,120800000000
083500,에프엔에스테크,2017-02-27,KQ,12650,105660097200
317870,엔바이오니아,2019-10-24,KQ,13200,101667978750
073110,엘엠에스,2007-10-12,KQ,10050,90291913250
179290,엠아이텍,2018-11-29,KQ,4555,141731886090
123040,엠에스오토텍,2010-08-06,KQ,5960,212498358520
033160,엠케이전자,1997-11-10,KQ,18900,413255706550
241790,오션브릿지,2016-12-01,KQ,14550,146038456400
138080,오이솔루션,2014-02-27,KQ,33450,354844773000
244460,올리패스,2019-09-20,KQ,10450,269887677400
155650,와이엠씨,2012-11-15,KQ,8690,172778196700
251370,와이엠티,2017-04-27,KQ,20550,308072546800
193250,와이제이엠게임즈,2014-12-29,KQ,2505,144960322065
332570,와이팜,2020-07-31,KQ,8870,329815241280
079000,와토스코리아,2005-11-15,KQ,7550,54432000000
115440,우리넷,2010-01-27,KQ,8530,77115807360
240810,원익IPS,2016-05-02,KQ,40200,1973172820200
065370,위세아이텍,2020-02-10,KQ,13550,89103092700
018000,유니슨,1996-01-10,KQ,3355,407199397095
011320,유니크,1993-12-29,KQ,7190,138915797050
263050,유틸렉스,2018-12-24,KQ,26050,402466584000
115610,이미지스,2010-02-26,KQ,4780,36965196960
080010,이상네트웍스,2005-09-30,KQ,8450,75455550000
101360,이엔드디,2020-07-30,KQ,31950,330768275150
294090,이오플로우,2020-09-14,KQ,60100,692679300000
134060,이퓨쳐,2011-04-27,KQ,7920,37724767500
001840,이화공영,1994-11-23,KQ,6410,126756864000
035080,인터파크,1999-07-05,KQ,6260,509056052010
071200,인피니트헬스케어,2010-05-26,KQ,7170,173702780960
068330,일신바이오,2007-12-26,KQ,4130,182833738900
221610,자안바이오,2016-01-27,KQ,2995,19931117015
174880,장원테크,2016-07-15,KQ,3825,73170157725
045510,정원엔시스,2000-09-07,KQ,2840,91957528660
361390,제노코,2021-03-24,KQ,69300,169972944000
058420,제이웨이,2002-01-10,KQ,2160,7799412240
064800,젬백스링크,2002-08-22,KQ,1575,131291292900
044060,조광ILI,2001-01-18,KQ,9150,126597308260
239340,줌인터넷,2016-06-09,KQ,5160,140294096800
072020,중앙백신,2003-10-31,KQ,15800,156870000000
314130,지놈앤컴퍼니,2020-12-23,KQ,39750,535815814000
382480,지아이텍,2021-10-21,KQ,25550,199147128400
115450,지트리비앤티,2010-03-26,KQ,15050,406320285000
363250,진시스템,2021-05-26,KQ,11800,80711298000
016920,카스,1990-01-04,KQ,5010,120202383960
042000,카페24,2018-02-08,KQ,26650,589346993200
073010,케이에스피,2004-12-17,KQ,2080,75460855845
046070,코다코,2000-12-26,KQ,1450,56643171200
052330,코텍,2001-07-10,KQ,11150,172877527200
051780,큐로홀딩스,2001-06-26,KQ,636,78386143500
