날짜,시가,고가,저가,종가,거래량
2013-08-29,75420,75420,64322,64322,66124.0
2013-08-30,54736,56250,54736,54737,10162252.0
2013-09-02,55493,57763,54484,57512,3379432.0
2013-09-03,57763,58015,55493,55494,1205030.0
2013-09-04,54988,56754,54736,54989,643225.0
2013-09-05,55241,55745,53980,54989,1095134.0
2013-09-06,54988,55745,51961,52467,1067937.0
2013-09-09,52718,54484,51709,53980,913548.0
2013-09-10,54736,58520,54232,57764,1612532.0
2013-09-11,57511,58015,56502,57259,761680.0
2013-09-12,58520,59781,57511,58520,1450099.0
2013-09-13,57763,58772,57006,58016,493753.0
2013-09-16,58520,58772,55745,55998,594568.0
2013-09-17,55997,56754,54988,55241,547118.0
2013-09-23,55493,57511,54736,54737,867300.0
2013-09-24,54988,56502,54736,56250,570354.0
2013-09-25,56502,58772,55997,58268,983377.0
2013-09-26,58772,63817,58267,61547,1917596.0
2013-09-27,61547,61799,60033,61295,642544.0
2013-09-30,60790,61799,59529,59530,576467.0
2013-10-01,59781,61042,58267,59277,531883.0
2013-10-02,59529,62808,59529,62556,906392.0
2013-10-04,62303,63312,59781,60539,828867.0
2013-10-07,60286,60790,57511,57512,722793.0
2013-10-08,57259,57763,55745,57512,807538.0
2013-10-10,57006,58015,55745,56250,593355.0
2013-10-11,56754,57259,55745,57007,759899.0
2013-10-14,57006,57259,54736,54737,553860.0
2013-10-15,55241,56502,54988,55746,628183.0
2013-10-16,55241,56250,50196,50953,2793902.0
2013-10-17,51457,52214,50448,50449,827015.0
2013-10-18,50700,52466,50700,51710,724850.0
2013-10-21,52214,54484,51709,53728,650615.0
2013-10-22,53980,55997,52718,55494,869537.0
2013-10-23,55241,56250,54736,54989,676322.0
2013-10-24,55493,58015,54988,58016,967375.0
2013-10-25,58520,59781,58267,59530,850476.0
2013-10-28,59024,59276,57006,58520,591739.0
2013-10-29,58520,59024,56754,57007,518713.0
2013-10-30,57259,58267,55997,57764,571268.0
2013-10-31,57259,58267,56502,57259,471659.0
2013-11-01,57259,57259,54232,54989,1323005.0
2013-11-04,54988,55997,54736,54989,309794.0
2013-11-05,55493,55493,53980,54233,299336.0
2013-11-06,53980,54988,51961,52971,561317.0
2013-11-07,53475,54484,51961,51962,425468.0
2013-11-08,52214,52970,50953,51205,407392.0
2013-11-11,51961,54484,51457,51962,544656.0
2013-11-12,52466,52718,50297,50701,809350.0
2013-11-13,49944,50347,47169,48784,1289468.0
2013-11-14,49691,49842,47370,47523,640182.0
2013-11-15,47925,48178,45605,45959,1460233.0
2013-11-18,46563,47825,46160,47623,842834.0
2013-11-19,48027,48783,47219,47926,569010.0
2013-11-20,47724,48783,47017,47825,515946.0
2013-11-21,47976,48682,47169,47725,355576.0
2013-11-22,48380,51457,47925,50701,965151.0
2013-11-25,50953,52718,50953,51458,672231.0
2013-11-26,51961,52718,50700,51962,453324.0
2013-11-27,51709,51961,48934,49036,835580.0
2013-11-28,49187,49237,47522,48027,1092470.0
2013-11-29,47925,48632,47674,48229,518711.0
2013-12-02,48228,48228,46563,46564,693800.0
2013-12-03,46362,47320,45655,45908,587140.0
2013-12-04,46008,46412,44041,44193,802866.0
2013-12-05,44898,46059,44646,45303,622118.0
2013-12-06,44898,47017,44898,46766,601163.0
2013-12-09,47219,49237,46917,49036,775508.0
2013-12-10,49237,49842,47421,47422,500323.0
2013-12-11,47169,48682,46715,47119,354712.0
2013-12-12,46614,46765,45555,45908,447048.0
