날짜,시가,고가,저가,종가,거래량
2011-04-08,10070,10070,10045,10070,21686.0
2011-04-11,10110,10185,10110,10185,29039.0
2011-04-12,10130,10130,10060,10085,17330.0
2011-04-13,10020,10040,9985,10040,12280.0
2011-04-14,10040,10040,10015,10040,2122.0
2011-04-15,10080,10195,10080,10195,12032.0
2011-04-18,10370,10370,10200,10315,10774.0
2011-04-19,10375,10390,10350,10385,13691.0
2011-04-20,10435,10445,10400,10445,9292.0
2011-04-21,10475,10490,10450,10490,12169.0
2011-04-22,10580,10595,10550,10595,12230.0
2011-04-25,10610,10630,10600,10630,17587.0
2011-04-26,10695,10705,10640,10705,14987.0
2011-04-27,10600,10610,10530,10565,9061.0
2011-04-28,10650,10655,10615,10655,4499.0
2011-04-29,10765,10770,10755,10770,9623.0
2011-05-02,10930,10965,10925,10960,14070.0
2011-05-03,10880,10880,10835,10880,11520.0
2011-05-04,10705,10720,10635,10635,22146.0
2011-05-06,10005,10010,9985,9990,12528.0
2011-05-09,9985,10020,9985,10015,2831.0
2011-05-11,10220,10275,10220,10275,4253.0
2011-05-12,10075,10075,10035,10075,3275.0
2011-05-13,10065,10065,10040,10055,3485.0
2011-05-16,9995,9995,9940,9950,5414.0
2011-05-17,9930,9950,9895,9930,3590.0
2011-05-18,9900,9935,9870,9935,2185.0
2011-05-19,9970,10025,9970,9985,7780.0
2011-05-20,10000,10000,9970,9995,2244.0
2011-05-23,10085,10100,10045,10050,3534.0
2011-05-24,10100,10130,10090,10130,1807.0
2011-05-25,10145,10215,10145,10210,1339.0
2011-05-26,10290,10335,10285,10310,2739.0
2011-05-27,10255,10280,10235,10280,4545.0
2011-05-30,10325,10365,10320,10365,4541.0
2011-05-31,10350,10380,10350,10350,980.0
2011-06-01,10330,10365,10320,10330,1098.0
2011-06-02,10310,10345,10300,10335,768.0
2011-06-03,10250,10250,10220,10250,398.0
2011-06-07,10345,10345,10310,10330,1209.0
2011-06-08,10330,10370,10310,10315,1490.0
2011-06-09,10305,10310,10300,10310,3955.0
2011-06-10,10335,10350,10335,10350,404.0
2011-06-13,10180,10240,10180,10235,2184.0
2011-06-14,10100,10105,10060,10105,1727.0
2011-06-15,10185,10185,10150,10170,202.0
2011-06-16,10170,10215,10170,10175,540.0
2011-06-17,10175,10175,10165,10165,546.0
2011-06-20,10265,10265,10250,10265,7228.0
2011-06-21,10265,10300,10265,10265,492.0
2011-06-22,10310,10320,10310,10310,167.0
2011-06-23,10350,10350,10300,10340,706.0
2011-06-24,10170,10170,10140,10170,529.0
2011-06-27,9980,9990,9965,9990,1442.0
2011-06-28,9970,9970,9955,9970,540.0
2011-06-29,9960,9975,9950,9970,1381.0
2011-06-30,10045,10085,10040,10065,474.0
2011-07-01,10020,10020,9965,9980,1936.0
2011-07-04,9920,9935,9910,9925,947.0
2011-07-05,9935,9970,9925,9970,604.0
2011-07-06,10080,10120,10080,10120,720.0
2011-07-07,10140,10220,10120,10220,933.0
2011-07-08,10295,10295,10230,10270,488.0
2011-07-11,10300,10350,10295,10350,1984.0
2011-07-12,10360,10360,10305,10310,2580.0
2011-07-13,10400,10425,10380,10390,4611.0
2011-07-14,10605,10665,10575,10595,7928.0
2011-07-15,10620,10620,10595,10620,1714.0
2011-07-18,10700,10770,10700,10765,1120.0
2011-07-19,10830,10830,10745,10830,10723.0
2011-07-20,10725,10730,10615,10695,10666.0
2011-07-21,10740,10790,10735,10785,935.0
2011-07-22,10730,10730,10665,10665,1761.0
2011-07-25,10855,10910,10855,10890,3432.0
2011-07-26,10890,10905,10860,10885,1276.0
2011-07-27,10890,10940,10890,10905,1823.0
2011-07-28,10845,10900,10845,10870,1527.0
2011-07-29,10880,10890,10880,10880,4424.0
2011-08-01,10880,10880,10795,10830,3256.0
2011-08-02,10840,10895,10840,10845,2569.0
2011-08-03,11140,11140,11075,11085,1732.0
2011-08-04,11160,11230,11160,11225,3342.0
2011-08-05,11050,11060,10970,10970,4066.0
2011-08-08,11230,11450,11170,11450,21183.0
2011-08-09,11490,11645,11480,11645,30933.0
2011-08-10,11645,11650,11510,11530,8376.0
2011-08-11,12000,12010,11755,11815,3930.0
2011-08-12,11590,11670,11570,11650,4087.0
2011-08-16,11695,11750,11685,11700,7316.0
2011-08-17,11790,11865,11790,11795,328.0
2011-08-18,11830,11905,11830,11880,644.0
2011-08-19,12140,12255,12090,12250,14555.0
2011-08-22,12395,12610,12395,12610,25539.0
2011-08-23,12785,12785,12635,12715,19625.0
2011-08-24,12290,12375,12235,12300,9380.0
2011-08-25,11635,11750,11530,11580,14630.0
2011-08-26,11820,11885,11760,11825,5975.0
2011-08-29,12150,12150,12100,12150,3872.0
2011-08-30,11980,11980,11905,11960,10594.0
2011-08-31,12150,12205,12145,12200,16091.0
2011-09-01,12220,12220,12125,12175,7780.0
2011-09-02,12120,12175,12120,12130,1165.0
2011-09-05,12610,12610,12495,12535,5277.0
2011-09-06,12680,12785,12620,12785,7339.0
2011-09-07,12510,12510,12250,12270,10522.0
2011-09-08,12085,12275,12085,12255,7170.0
2011-09-09,12455,12455,12365,12455,3209.0
2011-09-14,12270,12280,12175,12190,9215.0
2011-09-15,12160,12160,12020,12035,5097.0
2011-09-16,11855,11900,11745,11760,5610.0
2011-09-19,12135,12135,12065,12095,3723.0
2011-09-20,11845,11845,11765,11765,3075.0
2011-09-21,11900,12020,11890,11995,3037.0
2011-09-22,11845,11845,11780,11790,2036.0
2011-09-23,11405,11405,11240,11250,13462.0
2011-09-26,10655,10680,10155,10155,21010.0
2011-09-27,10250,10600,10220,10595,11559.0
2011-09-28,10730,10730,10575,10590,3584.0
2011-09-29,10255,10510,10255,10470,1639.0
2011-09-30,10480,10595,10480,10535,2241.0
2011-10-04,10800,10800,10710,10760,1148.0
2011-10-05,10485,10550,10460,10475,2578.0
2011-10-06,10650,10650,10540,10600,497.0
2011-10-07,10675,10780,10675,10780,2076.0
2011-10-10,10695,10730,10650,10705,847.0
2011-10-11,10510,10930,10485,10880,5393.0
2011-10-12,10775,10845,10775,10835,962.0
2011-10-13,10880,10940,10880,10880,6386.0
2011-10-14,10785,10810,10770,10785,975.0
2011-10-17,10940,10940,10870,10900,176.0
2011-10-18,10890,10890,10805,10805,1422.0
2011-10-19,10790,10795,10770,10780,2575.0
2011-10-20,10680,10680,10465,10470,1659.0
