날짜,시가,고가,저가,종가,거래량
2020-10-29,9672,9785,9602,9786,1759.0
2020-10-30,9696,9741,9503,9504,110.0
2020-11-02,9568,9652,9538,9628,1083.0
2020-11-03,9716,9929,9716,9929,20455.0
2020-11-04,10008,10221,9889,10147,25109.0
2020-11-05,10117,10246,10087,10241,1167.0
2020-11-06,10360,10360,10167,10226,1863.0
2020-11-09,10295,10335,10266,10316,2124.0
2020-11-10,10290,10374,10201,10350,23071.0
2020-11-11,10350,10370,10305,10370,16406.0
2020-11-12,10384,10389,10266,10321,23635.0
2020-11-13,10231,10266,10107,10266,12301.0
2020-11-16,10256,10394,10241,10375,15966.0
2020-11-17,10360,10399,10251,10281,8843.0
2020-11-18,10285,10370,10241,10321,25627.0
2020-11-19,10275,10365,10231,10365,13563.0
2020-11-20,10345,10533,10345,10533,44730.0
2020-11-23,10538,10642,10498,10618,35360.0
2020-11-24,10647,10691,10533,10687,35690.0
2020-11-25,10726,10790,10459,10538,68088.0
2020-11-26,10563,10681,10478,10682,33982.0
2020-11-27,10691,10840,10642,10801,126682.0
2020-11-30,10845,10909,10746,10756,161343.0
2020-12-01,10810,10815,10691,10806,15018.0
2020-12-02,10805,10884,10770,10860,206802.0
2020-12-03,10879,10884,10795,10850,42433.0
2020-12-04,10850,10949,10805,10919,49782.0
2020-12-07,10934,11003,10820,11004,66585.0
2020-12-08,11003,11058,10860,10910,75713.0
2020-12-09,10983,11018,10909,11013,72167.0
2020-12-10,10939,11072,10929,11068,45011.0
2020-12-11,11082,11127,11048,11127,61908.0
2020-12-14,11122,11122,10968,11023,45965.0
2020-12-15,11082,11161,11023,11122,109628.0
2020-12-16,11166,11295,11122,11286,175473.0
2020-12-17,11300,11345,11226,11325,169767.0
2020-12-18,11350,11350,11231,11296,87080.0
2020-12-21,11295,11359,11186,11350,72605.0
2020-12-22,11315,11364,11087,11108,83290.0
2020-12-23,11176,11404,11067,11325,115084.0
2020-12-24,11315,11379,11265,11355,65253.0
2020-12-28,11384,11444,11300,11395,36692.0
2020-12-29,11463,11627,11434,11627,285526.0
2020-12-30,11627,11746,11602,11741,167975.0
2021-01-04,11770,11993,11751,11994,308971.0
2021-01-05,11949,12171,11810,12172,192874.0
2021-01-06,12241,12320,11998,12063,164509.0
2021-01-07,12181,12354,12092,12320,112164.0
2021-01-08,12374,12736,12340,12647,322881.0
2021-01-11,12750,12973,12325,12657,203953.0
2021-01-12,12513,12661,12147,12449,129498.0
2021-01-13,12562,12696,12493,12637,138045.0
2021-01-14,12656,12721,12617,12696,171506.0
2021-01-15,12741,12825,12458,12513,96498.0
2021-01-18,12345,12478,12196,12281,40783.0
2021-01-19,12280,12538,12250,12528,21568.0
2021-01-20,12651,12681,12493,12677,29206.0
2021-01-21,12750,12830,12736,12830,44046.0
2021-01-22,12830,12929,12775,12835,128181.0
2021-01-25,12948,13107,12825,13107,171906.0
2021-01-26,13112,13181,12929,12984,236215.0
2021-01-27,12983,13136,12869,12929,105145.0
2021-01-28,12646,12864,12498,12652,135232.0
2021-01-29,12765,12805,12201,12355,67274.0
2021-02-01,12216,12533,12122,12533,27466.0
2021-02-02,12617,12820,12552,12637,44498.0
2021-02-03,12825,12859,12691,12860,36438.0
2021-02-04,12844,12859,12632,12741,36481.0
2021-02-05,12830,12835,12617,12795,28497.0
2021-02-08,12760,12760,12577,12632,17840.0
2021-02-09,12632,12741,12597,12617,17849.0
2021-02-10,12661,12721,12523,12706,17277.0
2021-02-15,12859,12909,12731,12904,50674.0
2021-02-16,12929,13102,12899,13092,147752.0
2021-02-17,13112,13112,12953,13092,105961.0
2021-02-18,13087,13201,12968,12969,96992.0
2021-02-19,13052,13181,12780,13177,47911.0
2021-02-22,13211,13221,12859,12909,104184.0
2021-02-23,12731,12864,12607,12756,67826.0
2021-02-24,12755,12775,12295,12296,86612.0
2021-02-25,12518,12637,12419,12637,48757.0
2021-02-26,12285,12349,12142,12286,45877.0
2021-03-02,12518,12617,12226,12355,37943.0
2021-03-03,12310,12463,12260,12464,19264.0
2021-03-04,12320,12379,12156,12251,27368.0
2021-03-05,12052,12216,11924,12177,50025.0
2021-03-08,12236,12290,11899,11900,8319.0
2021-03-09,11894,11894,11523,11865,25742.0
2021-03-10,12067,12107,11820,11880,30681.0
2021-03-11,11879,12132,11879,12132,13226.0
2021-03-12,12265,12384,12255,12340,21080.0
2021-03-15,12409,12409,12241,12320,18841.0
2021-03-16,12399,12493,12389,12494,45873.0
2021-03-17,12498,12518,12320,12459,11779.0
2021-03-18,12513,12617,12498,12563,24586.0
2021-03-19,12374,12493,12310,12479,21115.0
2021-03-22,12379,12394,12275,12370,14646.0
2021-03-23,12419,12488,12176,12216,13433.0
2021-03-24,12147,12270,12127,12271,9556.0
2021-03-25,12186,12315,12181,12315,12809.0
2021-03-26,12369,12498,12315,12498,9565.0
2021-03-29,12478,12478,12310,12365,7089.0
2021-03-30,12434,12533,12424,12494,11273.0
2021-03-31,12508,12612,12463,12503,35886.0
2021-04-01,12592,12612,12533,12612,15399.0
2021-04-02,12666,12691,12612,12677,22830.0
2021-04-05,12711,12711,12577,12652,5837.0
2021-04-06,12681,12750,12666,12746,49916.0
2021-04-07,12736,12741,12676,12731,7985.0
2021-04-08,12706,12765,12686,12731,13172.0
2021-04-09,12716,12780,12676,12701,8783.0
2021-04-12,12726,12726,12632,12672,90950.0
2021-04-13,12686,12924,12676,12924,44995.0
2021-04-14,12929,12968,12879,12959,41694.0
2021-04-15,12998,13102,12973,13048,88930.0
2021-04-16,13067,13117,13023,13117,46008.0
2021-04-19,13082,13181,12983,13157,74686.0
2021-04-20,13132,13216,13092,13206,90906.0
2021-04-21,13141,13181,12968,13003,12523.0
2021-04-22,13102,13127,13023,13078,9690.0
2021-04-23,12968,13107,12924,13092,25009.0
2021-04-26,13107,13127,13042,13127,23052.0
2021-04-27,13156,13161,13052,13097,9261.0
2021-04-28,13062,13062,12755,12840,14983.0
2021-04-29,12855,12855,12645,12685,7316.0
2021-04-30,12660,12660,12405,12530,21019.0
2021-05-03,12515,12615,12330,12370,6423.0
2021-05-04,12045,12615,12045,12480,6070.0
2021-05-06,12430,12525,12360,12435,6565.0
2021-05-07,12460,12525,12435,12510,16188.0
2021-05-10,12520,12640,12510,12640,5631.0
2021-05-11,12535,12535,12360,12475,20547.0
2021-05-12,12470,12475,12200,12255,9086.0
2021-05-13,12010,12210,12010,12100,27809.0
2021-05-14,12190,12325,12190,12315,13465.0
2021-05-17,12350,12360,12155,12250,6274.0
2021-05-18,12245,12390,12240,12375,3455.0
2021-05-20,12320,12415,12250,12415,2795.0
2021-05-21,12495,12600,12375,12440,12435.0
2021-05-24,12430,12485,12375,12380,4593.0
2021-05-25,12435,12520,12420,12520,2511.0
2021-05-26,12530,12630,12530,12610,3317.0
2021-05-27,12595,12695,12470,12695,7880.0
2021-05-28,12695,12750,12670,12745,28155.0
2021-05-31,12755,12845,12755,12845,51644.0
2021-06-01,12845,13050,12820,13005,36293.0
2021-06-02,13055,13055,12930,12945,9901.0
2021-06-03,13000,13175,12995,13155,98392.0
2021-06-04,13090,13090,12940,13040,5071.0
2021-06-07,13120,13130,12955,13085,8377.0
2021-06-08,13035,13115,13030,13070,17207.0
2021-06-09,13070,13105,12975,13000,9210.0
2021-06-10,13000,13165,12980,13115,8289.0
2021-06-11,13160,13245,13160,13225,71412.0
2021-06-14,13250,13320,13250,13320,141794.0
2021-06-15,13325,13410,13305,13375,140159.0
2021-06-16,13355,13365,13315,13350,9263.0
2021-06-17,13265,13360,13210,13350,6249.0
2021-06-18,13340,13515,13340,13495,134852.0
2021-06-21,13390,13415,13255,13335,25577.0
2021-06-22,13335,13405,13300,13360,19044.0
2021-06-23,13370,13500,13370,13500,31039.0
