날짜,시가,고가,저가,종가,거래량
2010-01-04,198000,204500,197500,204500,257869.0
2010-01-05,204500,205000,201500,202500,223982.0
2010-01-06,205000,209000,202500,208500,270027.0
2010-01-07,208500,208500,204500,207000,183185.0
2010-01-08,206000,207000,200000,201000,310317.0
2010-01-11,200500,201000,195000,196500,378764.0
2010-01-12,197500,200000,196500,197500,184757.0
2010-01-13,198000,202000,197500,200500,225485.0
2010-01-14,201000,204500,198500,200000,209594.0
2010-01-15,201000,203500,197000,199000,218561.0
2010-01-18,197000,199000,193500,194500,288273.0
2010-01-19,195500,197500,192500,196000,256751.0
2010-01-20,195000,197000,191000,193000,364888.0
2010-01-21,190000,192000,187000,190500,297222.0
2010-01-22,188000,188500,185000,187000,347977.0
2010-01-25,183500,192000,183000,190500,300084.0
2010-01-26,192000,193000,188500,192500,206756.0
2010-01-27,191500,192000,188000,191000,123526.0
2010-01-28,191000,191000,187000,188000,150564.0
2010-01-29,186000,187000,182500,185500,184125.0
2010-02-01,183000,184500,181000,181500,188666.0
2010-02-02,182000,182500,174500,177000,457172.0
2010-02-03,179000,185000,177500,184000,316028.0
2010-02-04,185000,187500,182500,184000,266316.0
2010-02-05,180000,181500,178000,179500,194536.0
2010-02-08,179500,183500,178000,181500,204045.0
2010-02-09,182500,182500,179000,181500,122737.0
2010-02-10,182000,182000,177500,179000,137506.0
2010-02-11,180000,182500,179500,181500,171211.0
2010-02-12,181500,184500,179500,184000,166503.0
2010-02-16,183500,183500,180500,182000,110426.0
2010-02-17,184000,188000,183000,187500,169332.0
2010-02-18,187000,187500,185000,187500,106366.0
2010-02-19,186000,193000,185000,190000,381682.0
2010-02-22,191000,194500,191000,192500,194207.0
2010-02-23,192000,193500,190000,190500,122441.0
2010-02-24,190000,193000,187500,191000,134010.0
2010-02-25,190000,191500,184500,185500,185870.0
2010-02-26,185000,187000,184500,184500,102494.0
2010-03-02,188000,196000,186000,195500,372402.0
2010-03-03,193500,198500,193000,198500,254655.0
2010-03-04,199000,199000,191000,191500,285478.0
2010-03-05,192000,193000,189000,191000,202586.0
2010-03-08,193000,195000,191000,192000,219190.0
2010-03-09,191500,191500,187500,190000,392892.0
2010-03-10,190500,191000,187500,189000,155045.0
2010-03-11,190000,194000,189000,192500,272569.0
2010-03-12,193500,197500,193000,197500,307858.0
2010-03-15,196000,198000,193000,198000,196237.0
2010-03-16,195500,198000,194500,195000,165543.0
2010-03-17,197000,198500,192500,194500,320649.0
2010-03-18,193500,194500,189500,190000,440629.0
2010-03-19,191500,191500,190500,191000,196544.0
2010-03-22,190000,190500,188000,188500,181618.0
2010-03-23,188500,191000,187500,190000,171406.0
2010-03-24,192500,193500,189500,190000,169513.0
2010-03-25,191000,192500,190000,192000,138381.0
2010-03-26,191000,192000,190000,191500,153945.0
2010-03-29,189500,191000,189000,190000,144164.0
2010-03-30,189000,189500,187000,188000,236713.0
2010-03-31,187000,188000,180500,181500,361019.0
2010-04-01,182500,187500,182000,187000,265407.0
2010-04-02,187000,188500,184000,185000,202009.0
2010-04-05,187000,191500,186000,191500,338047.0
2010-04-06,193500,194500,191500,194000,207614.0
2010-04-07,194000,196500,193500,194000,150326.0
2010-04-08,191000,194500,191000,194500,124706.0
2010-04-09,193000,194000,191000,193500,78694.0
2010-04-12,192000,196000,192000,193000,202688.0
2010-04-13,194000,194500,190500,193500,133366.0
2010-04-14,194000,203000,192000,203000,571450.0
2010-04-15,203500,212000,203000,207000,594341.0
2010-04-16,208000,210000,205000,206000,187787.0
2010-04-19,204000,206500,199000,203000,198282.0
2010-04-20,202000,203500,199500,203000,222741.0
2010-04-21,202000,202500,199000,199500,330672.0
2010-04-22,199500,206000,199000,203500,354180.0
2010-04-23,207000,212000,205000,207000,369985.0
2010-04-26,212000,215000,208500,209000,353482.0
2010-04-27,208000,210000,202500,206000,271423.0
2010-04-28,202500,204000,200500,203500,208625.0
2010-04-29,203500,203500,199000,200000,181736.0
2010-04-30,202500,207500,201000,206000,331803.0
2010-05-03,205000,210000,204500,206500,215799.0
2010-05-04,208000,210000,205000,210000,210322.0
2010-05-06,206500,209500,204000,207000,235848.0
2010-05-07,200000,200500,194500,198000,398130.0
2010-05-10,198500,198500,194500,195000,495693.0
2010-05-11,197000,198000,192500,194500,326945.0
2010-05-12,196000,196000,185000,188000,471587.0
2010-05-13,189500,197000,189500,195500,351557.0
2010-05-14,196000,200000,192000,194000,228176.0
2010-05-17,191500,194000,188000,190000,244614.0
2010-05-18,190000,190500,183500,186000,255384.0
2010-05-19,187000,187000,180000,185500,194932.0
2010-05-20,181000,185500,180000,182500,183798.0
2010-05-24,181000,184500,179000,182000,172948.0
2010-05-25,179500,179500,171500,176000,391992.0
2010-05-26,176000,177000,168000,168000,409800.0
2010-05-27,171000,175500,169500,175500,529449.0
2010-05-28,178500,181500,176000,179000,329588.0
2010-05-31,180000,181000,176000,177500,206042.0
2010-06-01,177000,177500,173500,176000,225092.0
2010-06-03,178500,180500,176000,178500,244862.0
2010-06-04,180000,184000,179000,180000,272587.0
2010-06-07,175000,180000,174500,179500,215611.0
2010-06-08,180000,183500,177500,181000,141548.0
2010-06-09,181000,182500,179000,181500,76249.0
2010-06-10,181500,183000,178000,180000,257843.0
2010-06-11,183500,186000,181500,185000,317998.0
2010-06-14,185000,187500,182500,184000,177540.0
2010-06-15,183500,185500,181500,182500,118632.0
2010-06-16,184500,187000,183500,185000,137375.0
2010-06-17,187500,187500,185000,185000,151987.0
2010-06-18,182500,185500,182500,185000,109215.0
2010-06-21,187000,189500,186000,186500,193792.0
2010-06-22,187000,188500,186000,187000,82731.0
2010-06-23,187000,190000,185500,188000,111694.0
2010-06-24,187000,194500,187000,192500,243429.0
2010-06-25,193000,200000,191500,195500,455049.0
2010-06-28,199000,202000,197500,201500,273334.0
2010-06-29,203500,203500,197500,199000,100642.0
2010-06-30,194000,196000,191500,195500,217082.0
2010-07-01,194500,199000,192000,196500,109634.0
2010-07-02,196500,200000,195500,197000,112261.0
2010-07-05,199000,201000,197000,198500,138978.0
2010-07-06,199000,199000,194500,198000,117986.0
2010-07-07,199500,200000,197000,199500,132306.0
2010-07-08,202000,204500,201000,204500,255029.0
2010-07-09,206000,207000,199000,200000,357705.0
2010-07-12,201500,203000,200000,202000,134855.0
2010-07-13,200000,202500,197500,200000,191870.0
2010-07-14,199500,203500,198000,198000,231194.0
2010-07-15,197000,198500,193500,194500,224776.0
2010-07-16,192000,194000,189000,191000,286071.0
2010-07-19,191000,193500,190000,191500,115659.0
2010-07-20,191500,195500,190000,193500,156793.0
2010-07-21,194500,196000,191500,194000,146029.0
2010-07-22,192500,199000,192500,196500,204154.0
2010-07-23,198000,200500,197000,198500,173051.0
2010-07-26,199000,200500,197000,197000,82076.0
2010-07-27,197000,199500,196500,199500,123822.0
2010-07-28,199500,200000,195000,197500,141745.0
2010-07-29,198500,204500,197000,204000,299572.0
2010-07-30,204000,206000,202500,206000,157033.0
2010-08-02,209000,212500,207500,210500,316564.0
2010-08-03,211000,213000,206000,210500,201647.0
2010-08-04,208000,210500,204000,208000,145579.0
2010-08-05,208000,209000,203000,207000,122589.0
2010-08-06,207000,210500,206500,209500,90299.0
