날짜,시가,고가,저가,종가,거래량
2019-06-25,10275,10325,10220,10255,62290.0
2019-06-26,10250,10265,10205,10255,513.0
2019-06-27,10270,10345,10250,10335,59720.0
2019-06-28,10335,10350,10285,10335,1200.0
2019-07-01,10395,10395,10305,10310,65.0
2019-07-02,10230,10300,10230,10260,1022.0
2019-07-03,10260,10280,10135,10155,79.0
2019-07-04,10140,10215,10100,10215,655.0
2019-07-05,10220,10245,10165,10225,989.0
2019-07-08,10100,10130,9975,10000,512.0
2019-07-09,10030,10055,9940,9940,482.0
2019-07-10,9960,9985,9950,9960,592.0
2019-07-11,10060,10110,10040,10080,380.0
2019-07-12,10075,10120,10065,10110,321.0
2019-07-15,10065,10100,10020,10085,3287428.0
2019-07-16,10095,10150,10065,10135,428277.0
2019-07-17,10035,10045,9970,10045,2140711.0
2019-07-18,10040,10040,9990,10010,1116955.0
2019-07-19,10080,10155,10065,10145,302.0
2019-07-22,10125,10155,10125,10140,302.0
2019-07-23,10160,10200,10155,10155,390.0
2019-07-24,10160,10200,10090,10090,303.0
2019-07-25,10080,10080,9965,10020,300.0
2019-07-26,10005,10020,9965,10015,350.0
2019-07-29,9945,9955,9785,9805,301.0
2019-07-30,9835,9895,9825,9850,6126.0
2019-07-31,9850,9880,9755,9820,1800.0
2019-08-01,9735,9820,9720,9745,1287.0
2019-08-02,9655,9715,9640,9680,820.0
2019-08-05,9595,9595,9405,9405,936.0
2019-08-06,9180,9425,9180,9265,164293.0
2019-08-07,9305,9305,9195,9225,312.0
2019-08-08,9325,9385,9285,9305,367.0
2019-08-09,9390,9430,9365,9390,6352.0
2019-08-12,9410,9435,9375,9410,138261.0
2019-08-13,9320,9350,9300,9300,300.0
2019-08-14,9410,9420,9360,9360,307.0
2019-08-16,9310,9340,9265,9335,185452.0
2019-08-19,9380,9405,9365,9400,54952.0
2019-08-20,9385,9485,9360,9465,682848.0
2019-08-21,9470,9540,9470,9515,479.0
2019-08-22,9500,9500,9430,9430,2818.0
2019-08-23,9410,9460,9405,9440,405.0
2019-08-26,9275,9290,9235,9255,350.0
2019-08-27,9310,9355,9280,9295,2343.0
2019-08-28,9350,9410,9320,9405,974.0
2019-08-29,9390,9390,9330,9340,5271.0
2019-08-30,9465,9550,9465,9540,1000.0
2019-09-02,9480,9525,9470,9510,300.0
2019-09-03,9520,9555,9470,9495,304.0
2019-09-04,9500,9630,9500,9630,1663.0
2019-09-05,9630,9730,9630,9685,1528.0
2019-09-06,9760,9760,9705,9730,494.0
2019-09-09,9725,9795,9725,9755,2666.0
2019-09-10,9780,9825,9775,9815,199.0
2019-09-11,9910,9925,9860,9925,1207.0
2019-09-16,9920,9960,9880,9960,100.0
2019-09-17,9950,9975,9935,9960,100.0
2019-09-18,9995,10040,9970,10025,100.0
2019-09-19,10005,10095,10005,10050,187981.0
2019-09-20,10060,10125,10040,10105,71646.0
2019-09-23,10115,10145,10080,10130,495.0
2019-09-24,10125,10175,10105,10175,4066.0
2019-09-25,10090,10100,10015,10020,192.0
2019-09-26,10050,10080,9985,10025,100.0
2019-09-27,9985,9985,9905,9925,290.0
2019-09-30,9925,10020,9920,10020,423295.0
2019-10-01,10015,10080,9995,10060,12687.0
2019-10-02,9980,9985,9865,9865,209914.0
2019-10-04,9875,9895,9810,9810,100.0
2019-10-07,9865,9865,9770,9815,357.0
2019-10-08,9825,9935,9825,9905,182.0
2019-10-10,9830,9880,9770,9820,100.0
