날짜,시가,고가,저가,종가,거래량
2014-12-26,31223,35879,28072,28073,2300324.0
2014-12-29,27570,29611,26640,29183,552849.0
2014-12-30,29935,33228,29684,30974,646913.0
2015-01-02,32261,34517,31940,33911,327742.0
2015-01-05,34875,34875,32296,32800,194010.0
2015-01-06,32370,33264,31187,31798,149959.0
2015-01-07,31617,32906,30471,32873,211636.0
2015-01-08,33372,34375,32046,33660,198148.0
2015-01-09,34195,37454,33372,34268,422083.0
2015-01-12,35377,35377,33658,34376,174589.0
2015-01-13,34088,35234,33336,34412,153720.0
2015-01-14,34446,37454,34446,37241,378140.0
2015-01-15,37740,42539,36810,41181,543753.0
2015-01-16,41177,41895,39601,40965,255382.0
2015-01-19,47050,47050,47050,47053,105696.0
2015-01-20,54068,54068,50345,51708,1203535.0
2015-01-21,50918,58652,49844,55146,969300.0
2015-01-22,55787,60156,54069,58869,830706.0
2015-01-23,60227,67676,59583,67678,751546.0
2015-01-26,66101,70756,63881,65529,885383.0
2015-01-27,66243,68965,63523,67821,552571.0
2015-01-28,65743,67319,65026,66818,284807.0
2015-01-29,65170,65528,59010,59442,661561.0
2015-01-30,58080,61732,55501,58726,799011.0
2015-02-02,59512,63594,58867,61877,582469.0
2015-02-03,64454,66243,63093,65243,455105.0
2015-02-04,64811,65885,63308,65673,307796.0
2015-02-05,66387,68321,64883,65316,316909.0
2015-02-06,65528,66387,64024,65243,216147.0
2015-02-09,65599,66745,59870,62021,336513.0
2015-02-10,62520,65670,60945,63883,353851.0
2015-02-11,64596,65599,61088,61089,252349.0
2015-02-12,60872,60872,55142,55861,503966.0
2015-02-13,57077,60514,56575,59586,355500.0
2015-02-16,56934,57507,53783,53784,416309.0
2015-02-17,53496,55645,51563,54573,240995.0
2015-02-23,54499,55071,50058,50562,417283.0
2015-02-24,50489,52922,50489,51564,278706.0
2015-02-25,52493,53639,52207,52424,174296.0
2015-02-26,52207,53425,50631,52568,154279.0
2015-02-27,53067,53281,51634,51708,92091.0
2015-03-02,52278,56575,51919,54788,345677.0
2015-03-03,55787,56575,54427,54930,116780.0
2015-03-04,55142,57005,54786,54859,143055.0
2015-03-05,55000,63021,53496,63023,332576.0
2015-03-06,64454,66960,61159,62593,726836.0
2015-03-09,63021,64311,59583,59586,304125.0
2015-03-10,59440,60585,56289,56506,253979.0
2015-03-11,55287,58080,54713,56578,177888.0
2015-03-12,57149,59153,55860,57293,212513.0
2015-03-13,57650,60300,57650,58296,169494.0
2015-03-16,57866,61230,56504,58942,354351.0
2015-03-17,59512,60585,58365,58726,140905.0
2015-03-18,58867,59870,56718,57365,146829.0
2015-03-19,57650,57935,54786,56148,191050.0
2015-03-20,56218,59870,55860,59084,246780.0
2015-03-23,60014,61230,58724,58726,247225.0
2015-03-24,58365,59010,57220,57866,111300.0
2015-03-25,57866,58223,56145,56936,180211.0
2015-03-26,54499,56218,53925,54070,332453.0
2015-03-27,55142,55215,53925,54429,101888.0
2015-03-30,55215,56003,54069,55361,117765.0
2015-03-31,55716,55716,54427,54930,103392.0
2015-04-01,54427,56003,54068,55146,129919.0
2015-04-02,55357,55430,53353,53355,166928.0
2015-04-03,53137,53998,52637,52926,104681.0
2015-04-06,52851,52922,51347,52209,125620.0
2015-04-07,52637,55860,52350,55073,254913.0
2015-04-08,55142,55357,53137,53213,130807.0
2015-04-09,53639,56648,52781,56004,251207.0
2015-04-10,56934,58581,56289,56290,228923.0
2015-04-13,55430,57650,54570,57653,184231.0
2015-04-14,58796,60156,56575,58153,353144.0
2015-04-15,59010,61230,58151,60158,374969.0
2015-04-16,61374,61661,59798,60158,273540.0
2015-04-17,60945,67175,60443,66962,765448.0
2015-04-20,67032,76916,65958,76630,1372891.0
2015-04-21,77344,78778,73477,78207,604183.0
2015-04-22,80066,85939,69539,76344,1480024.0
2015-04-23,74480,75483,68751,70185,678917.0
2015-04-24,71042,73477,69969,72334,386351.0
2015-04-27,71328,73191,70613,71618,195628.0
