날짜,시가,고가,저가,종가,거래량
2021-12-15,9535,9580,9405,9425,161051.0
2021-12-16,9530,9635,9510,9545,53094.0
2021-12-17,9545,9590,9490,9540,35906.0
2021-12-20,9525,9635,9525,9560,3916.0
2021-12-21,9550,9575,9380,9495,7717.0
2021-12-22,9535,9650,9535,9550,62176.0
2021-12-23,9730,9740,9570,9585,2899.0
2021-12-27,9695,9775,9600,9760,4688.0
2021-12-28,9795,10185,9760,10095,44683.0
2021-12-29,10120,10225,9840,10005,25204.0
2021-12-30,10005,10045,9850,10030,6895.0
2022-01-03,10035,10150,9950,9990,11256.0
2022-01-04,9965,9965,9600,9600,14601.0
2022-01-05,9595,9595,9170,9260,31620.0
2022-01-06,9100,9100,8750,8750,6385.0
2022-01-07,8885,8955,8840,8920,5567.0
2022-01-10,8775,8775,8620,8720,1423.0
2022-01-11,8720,8720,8400,8450,11155.0
2022-01-12,8510,8710,8510,8670,1119.0
2022-01-13,8790,8790,8600,8620,1079.0
2022-01-14,8495,8495,8330,8350,4616.0
2022-01-17,8350,8535,8350,8455,175.0
2022-01-18,8500,8500,8300,8345,595.0
2022-01-19,8320,8320,8160,8255,471.0
2022-01-20,8280,8445,8280,8445,59.0
2022-01-21,8450,8500,8310,8365,957.0
2022-01-24,8385,8385,8070,8185,251.0
2022-01-25,8110,8135,7980,8000,541.0
2022-01-26,8000,8000,7680,7790,2827.0
2022-01-27,8055,8055,7390,7460,5465.0
2022-01-28,7550,7615,7325,7580,1155.0
2022-02-03,7700,7770,7520,7625,993.0
2022-02-04,7665,7885,7650,7885,860.0
2022-02-07,7870,7915,7855,7855,228.0
2022-02-08,7890,8000,7880,7945,559.0
2022-02-09,8000,8000,7995,8000,71.0
2022-02-10,8075,8095,7920,7920,138.0
2022-02-11,7875,7910,7755,7785,144.0
2022-02-14,7660,7730,7650,7665,168.0
2022-02-15,7735,7735,7320,7595,198.0
2022-02-16,7595,7895,7595,7825,1285.0
2022-02-17,7905,7985,7730,7905,330.0
2022-02-18,7810,7935,7810,7920,182.0
2022-02-21,7830,8100,7830,8100,2256.0
2022-02-22,8070,8070,7990,8030,21903.0
2022-02-23,8120,8120,8040,8110,925.0
2022-02-24,8075,8115,7680,7950,30416.0
2022-02-25,8105,8110,7955,8110,1351.0
2022-02-28,8120,8245,8110,8245,684.0
2022-03-02,8250,8410,8250,8410,993.0
2022-03-03,8410,8440,8355,8370,787.0
2022-03-04,8400,8400,8295,8360,535.0
2022-03-07,8250,8270,7810,8245,652.0
2022-03-08,8140,8265,8090,8195,148.0
2022-03-10,8355,8430,8250,8395,389.0
2022-03-11,8465,8525,8465,8510,1646.0
2022-03-14,8535,8535,8320,8345,1532.0
2022-03-15,8340,8410,8325,8350,53161.0
2022-03-16,8445,8445,8305,8415,551.0
