날짜,시가,고가,저가,종가,거래량
2016-12-27,10005,10005,9945,9960,300157.0
2016-12-28,9950,9955,9940,9950,177253.0
2016-12-29,9915,9940,9910,9940,159643.0
2017-01-02,9930,9945,9925,9945,145492.0
2017-01-03,9930,9975,9905,9975,162042.0
2017-01-04,9940,9955,9935,9955,168055.0
2017-01-05,10025,10120,10025,10120,141624.0
2017-01-06,10130,10130,10060,10060,139257.0
2017-01-09,10025,10025,9930,9935,199687.0
2017-01-10,9990,10045,9970,10045,138657.0
2017-01-11,10020,10045,10000,10040,186786.0
2017-01-12,10140,10155,10115,10130,402240.0
2017-01-13,10185,10205,10170,10205,181030.0
2017-01-16,10200,10200,10150,10150,145112.0
2017-01-17,10135,10225,10100,10225,146849.0
2017-01-18,10325,10325,10290,10310,137904.0
2017-01-19,10190,10225,10175,10210,174317.0
2017-01-20,10210,10250,10190,10250,170491.0
2017-01-23,10280,10290,10265,10290,151925.0
2017-01-24,10330,10335,10295,10310,142235.0
2017-01-25,10265,10300,10255,10300,156230.0
2017-01-26,10330,10370,10330,10355,112275.0
2017-01-31,10280,10335,10265,10335,130465.0
2017-02-01,10410,10410,10355,10355,153809.0
2017-02-02,10405,10465,10395,10450,132834.0
2017-02-03,10465,10470,10450,10470,122113.0
2017-02-06,10525,10555,10525,10545,164137.0
2017-02-07,10560,10560,10495,10495,168417.0
2017-02-08,10485,10500,10450,10470,171742.0
2017-02-09,10465,10480,10450,10480,143226.0
2017-02-10,10395,10430,10395,10425,160812.0
2017-02-13,10415,10440,10395,10395,141615.0
2017-02-14,10450,10540,10435,10540,163805.0
2017-02-15,10505,10525,10480,10510,124150.0
2017-02-16,10570,10580,10500,10500,161214.0
2017-02-17,10500,10500,10460,10475,141796.0
2017-02-20,10430,10475,10430,10460,120472.0
2017-02-21,10455,10470,10445,10465,134123.0
2017-02-22,10510,10530,10505,10505,131435.0
2017-02-23,10520,10565,10500,10530,117265.0
2017-02-24,10580,10635,10570,10610,114982.0
2017-02-27,10585,10610,10570,10570,141167.0
2017-02-28,10580,10605,10570,10605,127401.0
2017-03-02,10495,10515,10490,10510,137026.0
2017-03-03,10435,10445,10375,10375,128947.0
2017-03-06,10380,10400,10360,10360,110897.0
2017-03-07,10380,10445,10370,10445,121885.0
2017-03-08,10445,10475,10430,10475,132774.0
2017-03-09,10375,10395,10345,10355,119699.0
2017-03-10,10335,10365,10335,10365,111434.0
2017-03-13,10425,10465,10415,10465,113963.0
2017-03-14,10455,10455,10420,10440,126543.0
2017-03-15,10435,10485,10420,10485,112308.0
2017-03-16,10590,10600,10570,10590,108124.0
2017-03-17,10605,10610,10580,10585,159112.0
2017-03-20,10620,10680,10600,10680,140855.0
2017-03-21,10730,10750,10695,10695,117152.0
2017-03-22,10660,10680,10630,10675,137635.0
2017-03-23,10715,10715,10685,10685,114934.0
2017-03-24,10670,10690,10660,10680,137936.0
2017-03-27,10760,10760,10735,10760,126395.0
2017-03-28,10770,10780,10760,10775,117994.0
2017-03-29,10745,10775,10740,10755,120102.0
2017-03-30,10775,10775,10725,10725,147048.0
2017-03-31,10705,10710,10675,10705,128150.0
2017-04-03,10755,10765,10730,10730,122691.0
