종목코드,종목명,거래소,종가,시가총액,R1D,R1W,R1M,R3M,R6M,R1Y,V1D,V1W,V1M,V3M,V6M,V1Y,PER,PBR,DIV
005930,삼성전자,KS,71100,426242474070000,1.2820512820512775,0.7082152974504208,-8.139534883720934,-9.426751592356686,-13.922518159806296,18.500000000000007,13.152530015430502,10.902369877681123,19.672036148160732,20.84853196293007,17.670366557811747,23.56804482183674,18.515625,1.8,4.21
000660,SK하이닉스,KS,102000,74256241230000,2.0000000000000018,4.401228249744116,-3.3175355450236976,-12.82051282051282,-23.018867924528298,17.647058823529417,24.439089581845742,25.541211077861888,34.214765493460085,33.347276791018274,31.498168247692117,37.342853863881054,14.671875,1.43,1.15
035420,NAVER,KS,412500,67840782135000,2.4844720496894457,1.2269938650306678,3.125,-3.6214953271028083,8.409986859395534,44.230769230769226,19.080343928393553,22.902039365933607,36.75439324619423,32.69556270967007,31.175069649726016,33.37699713876247,59.96875,9.2,0.1
051910,LG화학,KS,830000,58521052347000,1.0962241169305775,-0.12033694344163459,9.210526315789469,2.4691358024691468,-3.935185185185186,34.959349593495936,27.175882364263096,37.00507621892451,34.1049517666898,40.78898662436285,37.70699697345318,42.06077286193982,124.5,3.6,1.2
207940,삼성바이오로직스,KS,879000,58225200000000,0.22805017103761926,1.2672811059907918,-4.456521739130437,-2.441731409544945,5.522208883553414,28.134110787172006,14.471696555884602,13.809056490603751,39.69144507972463,32.635414345543204,34.40506058986898,34.70669369797067,241.375,12.65,0.0
035720,카카오,KS,127500,56783568300000,1.1904761904761862,0.0,10.869565217391308,-12.06896551724138,8.05084745762712,79.95003740138031,16.826557419400775,13.99178239450982,42.16804610146853,42.03256109012464,39.99775795368642,37.85718875350933,345.5,8.92,0.02
005935,삼성전자우,KS,65000,53569924170000,1.8808777429467183,0.9316770186335477,-9.470752089136491,-10.096818810511754,-13.33333333333333,22.64150943396226,11.538295370115327,15.739664745522061,19.449550825998063,18.714281578265812,15.323456982045128,19.90090686851508,0.0,0.0,4.61
006400,삼성SDI,KS,746000,51229574850000,1.7735334242837686,2.6134800550206227,2.0519835841313228,1.7735334242837686,11.177347242921009,80.62953995157385,20.741500782719513,19.50389876844783,33.66751884903953,31.918730527476544,30.147548159300584,36.317217424961214,86.8125,4.05,0.13
005380,현대차,KS,213500,45724992018000,1.1848341232227444,2.1531100478468845,2.3980815347721895,-6.359649122807021,-5.3215077605321515,27.083333333333325,21.404536358540117,15.465334319870024,24.515530267323175,20.92516475272051,21.777418656958904,35.55842046487233,39.15625,0.85,1.41
000270,기아,KS,84800,34334275490900,0.5931198102016699,0.5931198102016699,0.7125890736342066,-2.640642939150406,1.193317422434359,81.58458244111348,19.322928466486054,10.941385069476274,35.77228977943721,29.806120259138673,27.65352423325487,43.08132018391027,22.859375,1.15,1.18
068270,셀트리온,KS,222500,30690474310000,2.771362586605086,2.064220183486243,-21.792618629173987,-16.82242990654206,-23.407917383820998,-11.320311036536035,21.53550399064949,25.164278183036426,56.89937421588299,43.51081787887431,39.903354688801684,47.678383109016224,59.25,9.17,0.0
323410,카카오뱅크,KS,61900,29408704670300,3.338898163606019,0.978792822185981,-6.777108433734935,,,,21.778604868002773,34.0715873197355,53.98936062959865,74.23937987549616,74.23937987549616,74.23937987549616,200.375,9.02,0.0
005490,POSCO,KS,315000,27420259607500,0.6389776357827559,-1.5625,-9.090909090909093,-4.689863842662634,-10.256410256410254,51.07913669064747,31.5256298855182,41.03881134110982,23.90373545142969,34.473586246829,33.2149067058259,34.63153450673796,15.6171875,0.62,2.54
012330,현대모비스,KS,270500,25641531927000,0.7448789571694592,-0.5514705882352922,2.851711026615966,-3.046594982078854,-9.38023450586265,21.573033707865164,17.090389055446355,19.833960949222426,27.171565472000765,24.345329360232785,21.96072121987363,38.84017548447559,16.5,0.77,1.48
105560,KB금융,KS,59100,24491086488000,0.0,6.678700361010836,14.75728155339806,16.79841897233201,12.786259541984734,45.208845208845204,18.671612626698963,18.091308858179286,24.362076464606243,24.317079003315346,27.064330574612466,30.63039492640445,6.7109375,0.58,2.99
259960,크래프톤,KS,498000,24353343887500,2.049180327868849,0.911854103343468,-0.40000000000000036,,,,31.960900404942993,22.79300962014014,37.84363523772547,55.82535264047358,55.82535264047358,55.82535264047358,36.15625,17.55,0.0
096770,SK이노베이션,KS,257000,23671184384000,0.19493177387914784,0.19493177387914784,4.6843177189409335,-0.7722007722007707,-2.651515151515149,88.27838827838828,25.656486822043355,5.934795034013164,26.94548761708271,29.967864362022812,34.971279095126874,51.52741728978679,0.0,1.66,0.0
028260,삼성물산,KS,121500,22706780341500,1.2499999999999956,0.4132231404958775,-6.896551724137934,-10.989010989010994,-9.999999999999998,17.96116504854368,12.173764854095507,14.241951948211659,21.834201234346807,21.33662430029575,24.26977412455655,32.08323285654521,19.34375,0.76,1.89
017670,SK텔레콤,KS,309500,22302614258500,,,,,,,,,,,,,15.1171875,1.05,3.23
055550,신한지주,KS,40700,20896451959300,0.49382716049382047,3.562340966921118,4.49293966623876,8.388814913448739,10.748299319727895,40.3448275862069,13.921156700051966,13.92853492658173,18.26551526790872,20.680940519136367,23.15821939282488,26.317010976648653,6.12109375,0.49,3.69
051900,LG생활건강,KS,1331000,20694111025000,-3.7599421547360845,-2.846715328467153,-0.4487658937920691,-21.242603550295858,-13.795336787564771,-14.7887323943662,28.365799530961194,34.99542265854433,28.358837008851342,27.562068658748206,26.113902956265246,25.251504379160078,27.953125,4.96,0.83
